Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo
Brandon Royval,0.4583333333333332,0.8734177215189873,0.25,0.443193449334698,0.0651428571428571,0.0194939858979676,0.1185344827586207,0.46,0.2531645569620253,0.0005222222222222,0.5793795620437956,0.1198919284025667,0.0424929178470254,0.1210374639769452,0.1538461538461538,0.044776119402985,0.09,0.37,0.6,0.4210526315789473,0.3333333333333333,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jairzinho Rozenstruik,0.6666666666666667,0.9367088607594936,0.7045454545454546,0.3520982599795292,0.0529523809523809,0.0,0.0,0.48,0.4810126582278481,0.0010444444444444,0.4708029197080292,0.1097602161431948,0.0963172804532578,0.0749279538904899,0.5,0.0149253731343283,0.0,0.5,0.0,0.3684210526315789,0.238095238095238,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Mauricio Ruffy,0.2916666666666667,0.8987341772151899,0.5681818181818183,0.4994882292732855,0.0723809523809523,0.0,0.0,0.59,0.6329113924050633,0.0008555555555555,0.5328467153284672,0.0249915569064505,0.0028328611898017,0.0576368876080691,0.3846153846153846,0.0,0.0,0.59,0.0,0.2631578947368421,0.0476190476190476,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,
Nursulton Ruziboev,0.4166666666666667,0.9746835443037974,0.6136363636363638,0.255885363357216,0.0876190476190476,0.0319369556200746,0.0,0.49,0.0048734177215189,0.4355555555555555,0.0337591240875912,0.000337723741979,0.0311614730878187,0.0345821325648414,0.0769230769230769,0.2985074626865671,0.43,1.0,0.34,0.2368421052631578,0.0952380952380952,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Cameron Saaiman,0.125,0.8607594936708861,0.2045454545454545,0.5445240532241556,0.0796190476190476,0.0377436748237246,0.074353448275862,0.52,0.2974683544303797,0.0005111111111111,0.5985401459854014,0.0867950016886187,0.065155807365439,0.1988472622478386,0.2307692307692307,0.0149253731343283,0.01,0.47,0.29,0.2368421052631578,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Danny Sabatello,0.4166666666666667,0.8881698783994927,0.4571483784237942,0.2118730808597748,0.0038095238095238,0.1244296972210701,0.1077586206896551,0.25,0.6329113924050633,0.0,0.8211678832116788,0.0006754474839581,0.0,0.0835734870317002,0.0,0.0,0.0,0.5700000000000001,0.75,0.0263157894736842,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Pat Sabatini,0.5416666666666667,0.8607594936708861,0.3409090909090913,0.2067553735926305,0.0293333333333333,0.1547075902115305,0.2004310344827586,0.49,0.3164556962025316,0.0003,0.4406934306569343,0.0148598446470786,0.0283286118980169,0.1729106628242074,0.0769230769230769,0.1194029850746268,0.11,0.6,0.42,0.4736842105263157,0.238095238095238,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Nazim Sadykhov,0.375,0.8860759493670886,0.2954545454545454,0.5056294779938588,0.1089523809523809,0.0709249274160099,0.0366379310344827,0.49,0.4746835443037974,0.0007666666666666,0.5985401459854014,0.0513340087808172,0.0736543909348442,0.1095100864553314,0.2307692307692307,0.0149253731343283,0.02,0.49,0.63,0.2368421052631578,0.0476190476190476,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Frankie Saenz,0.9166666666666669,0.8354430379746836,0.1590909090909091,0.4032753326509724,0.0666666666666666,0.0721692243882206,0.0129310344827586,0.52,0.3924050632911392,0.0002555555555555,0.708029197080292,0.0969267139479905,0.4929178470254958,0.1383285302593659,0.1153846153846153,0.1194029850746268,0.02,0.47,0.32,0.3421052631578947,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Benoît Saint Denis,0.3333333333333332,0.8987341772151899,0.4772727272727275,0.5834186284544525,0.0948571428571428,0.1974284529240978,0.1605603448275862,0.43,0.4367088607594936,0.0013222222222222,0.3941605839416058,0.0560621411685241,0.141643059490085,0.2046109510086455,0.1538461538461538,0.0,0.09,0.55,0.37,0.3421052631578947,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
