event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 81: Breaking Point,Rob Emerson,Keita Nakamura,W,L,0,1,81 of 212,57 of 191,38%,29%,89 of 220,66 of 203,0 of 0,4 of 4,---,100%,0,0,0,0,0:00,1:28,44 of 174,53 of 186,9 of 10,4 of 5,28 of 28,0 of 0,75 of 205,47 of 176,4 of 5,10 of 13,2 of 2,0 of 2
UFC 80: Rapid Fire,BJ Penn,Joe Stevenson,W,L,2,0,41 of 69,17 of 36,59%,47%,71 of 105,33 of 57,0 of 0,0 of 0,---,---,1,0,0,0,6:33,0:00,38 of 66,11 of 29,3 of 3,6 of 7,0 of 0,0 of 0,22 of 38,7 of 24,1 of 2,2 of 2,18 of 29,8 of 10
UFC 80: Rapid Fire,Fabricio Werdum,Gabriel Gonzaga,W,L,0,0,46 of 89,19 of 33,51%,57%,64 of 109,26 of 40,0 of 1,3 of 4,0%,75%,0,0,0,0,2:49,2:01,43 of 84,5 of 16,1 of 1,4 of 5,2 of 4,10 of 12,14 of 38,14 of 26,10 of 15,2 of 2,22 of 36,3 of 5
UFC 80: Rapid Fire,Marcus Davis,Jess Liaudin,W,L,1,0,5 of 5,4 of 8,100%,50%,5 of 5,4 of 8,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,4 of 4,0 of 2,1 of 1,0 of 1,0 of 0,4 of 5,3 of 3,4 of 8,0 of 0,0 of 0,2 of 2,0 of 0
UFC 80: Rapid Fire,Wilson Gouveia,Jason Lambert,W,L,1,0,5 of 14,27 of 56,35%,48%,9 of 18,47 of 82,0 of 1,1 of 1,0%,100%,4,0,0,0,0:07,4:50,5 of 14,16 of 44,0 of 0,10 of 11,0 of 0,1 of 1,4 of 12,3 of 8,0 of 0,2 of 3,1 of 2,22 of 45
UFC 80: Rapid Fire,Jorge Rivera,Kendall Grove,W,L,1,0,28 of 38,0 of 1,73%,0%,31 of 42,0 of 1,1 of 1,0 of 0,100%,---,0,0,0,0,1:05,0:00,27 of 37,0 of 1,0 of 0,0 of 0,1 of 1,0 of 0,9 of 12,0 of 1,0 of 0,0 of 0,19 of 26,0 of 0
UFC 80: Rapid Fire,Antoni Hardonk,Colin Robinson,W,L,1,0,5 of 7,0 of 2,71%,0%,5 of 7,1 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,2 of 3,0 of 2,1 of 2,0 of 0,2 of 2,0 of 0,4 of 5,0 of 2,1 of 2,0 of 0,0 of 0,0 of 0
UFC 80: Rapid Fire,Paul Kelly,Paul Taylor,W,L,0,0,70 of 139,43 of 81,50%,53%,154 of 234,149 of 202,3 of 3,1 of 1,100%,100%,0,3,1,0,12:07,1:22,57 of 125,29 of 67,13 of 14,7 of 7,0 of 0,7 of 7,13 of 36,13 of 40,11 of 15,17 of 20,46 of 88,13 of 21
UFC 80: Rapid Fire,Alessio Sakara,James Lee,W,L,0,0,8 of 10,0 of 1,80%,0%,10 of 12,0 of 1,0 of 0,2 of 4,---,50%,0,0,0,0,0:08,0:42,8 of 10,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 1,0 of 0,0 of 0,8 of 8,0 of 0
UFC 80: Rapid Fire,Sam Stout,Per Eklund,W,L,0,0,33 of 127,20 of 43,25%,46%,83 of 180,39 of 64,0 of 0,2 of 30,---,6%,0,1,0,0,5:32,3:02,10 of 98,5 of 26,7 of 9,11 of 12,16 of 20,4 of 5,7 of 89,14 of 33,9 of 11,6 of 10,17 of 27,0 of 0
