event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 196: McGregor vs Diaz,Conor McGregor,Nate Diaz,L,W,0,0,61 of 140,77 of 152,43%,50%,66 of 145,89 of 169,0 of 1,1 of 1,0%,100%,0,2,1,0,0:39,1:10,47 of 117,65 of 131,7 of 11,9 of 13,7 of 12,3 of 8,56 of 133,62 of 133,3 of 4,10 of 12,2 of 3,5 of 7
UFC 196: McGregor vs Diaz,Holly Holm,Miesha Tate,L,W,0,0,59 of 142,40 of 104,41%,38%,68 of 151,65 of 132,0 of 0,2 of 9,---,22%,0,2,0,0,0:51,5:05,35 of 109,29 of 83,16 of 21,7 of 12,8 of 12,4 of 9,57 of 139,26 of 88,2 of 3,4 of 4,0 of 0,10 of 12
UFC 196: McGregor vs Diaz,Gian Villante,Ilir Latifi,L,W,0,0,23 of 68,30 of 53,33%,56%,32 of 79,36 of 59,0 of 1,3 of 12,0%,25%,0,0,0,0,0:09,4:37,14 of 46,21 of 41,5 of 16,6 of 8,4 of 6,3 of 4,19 of 62,19 of 39,4 of 6,8 of 10,0 of 0,3 of 4
UFC 196: McGregor vs Diaz,Corey Anderson,Tom Lawlor,W,L,0,0,55 of 153,31 of 99,35%,31%,79 of 178,32 of 100,1 of 4,1 of 1,25%,100%,0,0,0,0,2:45,0:15,33 of 127,28 of 94,10 of 13,2 of 4,12 of 13,1 of 1,48 of 142,21 of 87,3 of 6,10 of 12,4 of 5,0 of 0
UFC 196: McGregor vs Diaz,Amanda Nunes,Valentina Shevchenko,W,L,0,0,39 of 81,28 of 67,48%,41%,66 of 112,56 of 99,2 of 6,1 of 1,33%,100%,2,0,0,1,4:39,1:19,21 of 53,22 of 58,6 of 11,3 of 6,12 of 17,3 of 3,20 of 50,16 of 51,0 of 0,5 of 8,19 of 31,7 of 8
UFC 196: McGregor vs Diaz,Brandon Thatch,Siyar Bahadurzada,L,W,0,0,30 of 53,84 of 138,56%,60%,57 of 85,170 of 235,1 of 2,3 of 3,50%,100%,0,1,0,1,0:29,8:19,16 of 33,67 of 118,5 of 9,15 of 18,9 of 11,2 of 2,21 of 43,18 of 49,6 of 7,19 of 25,3 of 3,47 of 64
UFC 196: McGregor vs Diaz,Erick Silva,Nordine Taleb,L,W,0,1,11 of 32,26 of 50,34%,52%,11 of 32,26 of 50,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,0:05,2 of 14,10 of 34,6 of 10,5 of 5,3 of 8,11 of 11,11 of 32,22 of 45,0 of 0,2 of 2,0 of 0,2 of 3
UFC 196: McGregor vs Diaz,Vitor Miranda,Marcelo Guimaraes,W,L,0,0,46 of 71,23 of 44,64%,52%,61 of 87,31 of 53,0 of 0,1 of 5,---,20%,0,0,0,0,0:02,3:57,38 of 58,6 of 22,6 of 10,4 of 8,2 of 3,13 of 14,21 of 45,19 of 37,25 of 26,3 of 6,0 of 0,1 of 1
UFC 196: McGregor vs Diaz,Darren Elkins,Chas Skelly,W,L,0,0,104 of 153,27 of 72,67%,37%,193 of 255,32 of 83,7 of 11,0 of 1,63%,0%,0,2,0,0,8:42,1:03,73 of 118,23 of 65,26 of 29,4 of 7,5 of 6,0 of 0,24 of 65,20 of 62,32 of 36,5 of 8,48 of 52,2 of 2
UFC 196: McGregor vs Diaz,Diego Sanchez,Jim Miller,W,L,0,0,48 of 125,56 of 115,38%,48%,71 of 148,61 of 120,2 of 9,0 of 1,22%,0%,0,0,0,0,3:27,0:24,35 of 101,37 of 92,12 of 21,10 of 13,1 of 3,9 of 10,40 of 116,48 of 104,3 of 4,4 of 7,5 of 5,4 of 4
UFC 196: McGregor vs Diaz,Jason Saggo,Justin Salas,W,L,0,0,20 of 35,1 of 3,57%,33%,31 of 56,2 of 4,0 of 0,1 of 1,---,100%,0,0,1,0,2:21,0:41,19 of 33,0 of 1,0 of 0,1 of 1,1 of 2,0 of 1,1 of 7,1 of 3,0 of 0,0 of 0,19 of 28,0 of 0
UFC 196: McGregor vs Diaz,Julian Erosa,Teruto Ishihara,L,W,0,1,16 of 44,27 of 51,36%,52%,24 of 52,31 of 55,1 of 1,0 of 0,100%,---,0,0,0,0,1:04,0:08,4 of 27,19 of 42,9 of 13,3 of 3,3 of 4,5 of 6,14 of 38,22 of 39,2 of 4,1 of 4,0 of 2,4 of 8
UFC on FOX: Johnson vs. Bader,Anthony Johnson,Ryan Bader,W,L,0,0,11 of 13,0 of 0,84%,---,13 of 15,0 of 0,0 of 0,0 of 1,---,0%,0,0,0,0,1:13,0:00,11 of 13,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,11 of 13,0 of 0
UFC on FOX: Johnson vs. Bader,Josh Barnett,Ben Rothwell,L,W,0,0,35 of 68,35 of 91,51%,38%,35 of 68,38 of 94,0 of 1,0 of 0,0%,---,0,1,0,0,0:28,0:07,21 of 52,24 of 77,12 of 14,5 of 8,2 of 2,6 of 6,33 of 63,35 of 91,2 of 5,0 of 0,0 of 0,0 of 0
UFC on FOX: Johnson vs. Bader,Iuri Alcantara,Jimmie Rivera,L,W,0,0,41 of 106,45 of 102,38%,44%,43 of 108,64 of 124,0 of 0,3 of 6,---,50%,0,0,0,0,0:01,2:12,18 of 73,21 of 67,17 of 25,13 of 21,6 of 8,11 of 14,36 of 100,35 of 84,5 of 6,10 of 15,0 of 0,0 of 3
UFC on FOX: Johnson vs. Bader,Sage Northcutt,Bryan Barberena,L,W,0,0,18 of 45,26 of 48,40%,54%,27 of 56,67 of 94,1 of 5,1 of 1,20%,100%,0,1,0,0,1:24,3:15,11 of 36,23 of 40,5 of 6,1 of 3,2 of 3,2 of 5,12 of 37,7 of 24,5 of 7,2 of 6,1 of 1,17 of 18
UFC on FOX: Johnson vs. Bader,Tarec Saffiedine,Jake Ellenberger,W,L,0,0,54 of 131,30 of 99,41%,30%,58 of 135,39 of 109,0 of 1,0 of 4,0%,0%,0,0,0,0,1:01,0:54,30 of 103,24 of 90,13 of 17,6 of 9,11 of 11,0 of 0,44 of 118,20 of 86,10 of 13,10 of 13,0 of 0,0 of 0
UFC on FOX: Johnson vs. Bader,Olivier Aubin-Mercier,Diego Ferreira,L,W,0,0,49 of 93,65 of 152,52%,42%,55 of 99,130 of 226,1 of 5,0 of 5,20%,0%,0,0,0,1,0:57,4:03,39 of 78,46 of 121,8 of 13,12 of 23,2 of 2,7 of 8,45 of 86,55 of 137,3 of 5,5 of 10,1 of 2,5 of 5
UFC on FOX: Johnson vs. Bader,Rafael Natal,Kevin Casey,W,L,1,0,54 of 87,16 of 49,62%,32%,123 of 168,30 of 64,4 of 7,0 of 2,57%,0%,0,0,0,0,5:32,2:10,43 of 74,10 of 41,5 of 7,5 of 6,6 of 6,1 of 2,16 of 35,12 of 45,7 of 9,4 of 4,31 of 43,0 of 0
UFC on FOX: Johnson vs. Bader,Dustin Ortiz,Wilson Reis,L,W,0,0,45 of 130,48 of 125,34%,38%,64 of 152,96 of 186,1 of 6,9 of 23,16%,39%,0,0,0,0,0:15,6:51,31 of 111,36 of 111,13 of 17,7 of 7,1 of 2,5 of 7,32 of 110,28 of 96,11 of 17,10 of 16,2 of 3,10 of 13
UFC on FOX: Johnson vs. Bader,George Sullivan,Alexander Yakovlev,L,W,0,1,14 of 22,15 of 18,63%,83%,19 of 27,17 of 20,0 of 0,2 of 2,---,100%,0,0,0,0,1:42,0:00,1 of 6,5 of 7,5 of 5,5 of 6,8 of 11,5 of 5,11 of 19,8 of 10,3 of 3,3 of 4,0 of 0,4 of 4
UFC on FOX: Johnson vs. Bader,Alex Caceres,Masio Fullen,W,L,0,0,74 of 144,36 of 108,51%,33%,80 of 153,38 of 110,1 of 3,0 of 1,33%,0%,0,0,0,0,1:47,0:05,39 of 92,17 of 82,20 of 34,9 of 15,15 of 18,10 of 11,58 of 123,34 of 104,14 of 19,2 of 4,2 of 2,0 of 0
UFC on FOX: Johnson vs. Bader,Matt Dwyer,Randy Brown,L,W,0,0,46 of 97,48 of 108,47%,44%,50 of 101,61 of 122,1 of 8,1 of 4,12%,25%,0,1,0,0,2:52,3:29,16 of 62,31 of 84,7 of 11,10 of 12,23 of 24,7 of 12,34 of 79,23 of 77,12 of 18,23 of 29,0 of 0,2 of 2
UFC on FOX: Johnson vs. Bader,Damon Jackson,Levan Makashvili,D,D,0,0,44 of 131,65 of 114,33%,57%,85 of 175,102 of 153,0 of 6,2 of 5,0%,40%,0,0,0,0,6:39,2:01,22 of 104,32 of 77,19 of 23,29 of 30,3 of 4,4 of 7,24 of 99,26 of 67,19 of 31,38 of 46,1 of 1,1 of 1
UFC on FOX: Johnson vs. Bader,Anthony Rocco Martin,Felipe Olivieri,W,L,0,0,60 of 141,87 of 150,42%,58%,64 of 147,94 of 159,2 of 7,0 of 1,28%,0%,1,0,0,0,4:01,0:19,55 of 132,31 of 81,4 of 7,28 of 37,1 of 2,28 of 32,53 of 131,77 of 136,7 of 10,10 of 14,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Robbie Lawler,Carlos Condit,W,L,1,0,92 of 177,176 of 495,51%,35%,93 of 178,177 of 497,0 of 0,0 of 0,---,---,0,0,0,0,0:42,0:10,82 of 167,96 of 372,7 of 7,47 of 79,3 of 3,33 of 44,76 of 153,149 of 447,14 of 20,27 of 48,2 of 4,0 of 0
UFC 195: Lawler vs Condit,Stipe Miocic,Andrei Arlovski,W,L,1,0,11 of 15,7 of 12,73%,58%,11 of 15,7 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,11 of 15,4 of 6,0 of 0,0 of 2,0 of 0,3 of 4,5 of 8,6 of 11,1 of 2,1 of 1,5 of 5,0 of 0
UFC 195: Lawler vs Condit,Lorenz Larkin,Albert Tumenov,L,W,0,0,69 of 155,76 of 194,44%,39%,69 of 155,76 of 194,0 of 2,0 of 2,0%,0%,0,0,0,0,0:14,0:17,12 of 84,52 of 167,10 of 12,19 of 22,47 of 59,5 of 5,68 of 151,71 of 184,1 of 4,5 of 10,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Diego Brandao,Brian Ortega,L,W,0,0,56 of 108,29 of 110,51%,26%,61 of 116,33 of 114,2 of 3,0 of 1,66%,0%,0,2,0,0,0:20,1:43,38 of 87,18 of 91,10 of 11,11 of 19,8 of 10,0 of 0,51 of 99,28 of 109,0 of 0,1 of 1,5 of 9,0 of 0
UFC 195: Lawler vs Condit,Abel Trujillo,Tony Sims,W,L,0,0,4 of 11,5 of 12,36%,41%,4 of 11,5 of 12,0 of 2,1 of 1,0%,100%,1,0,0,0,0:17,0:12,2 of 8,5 of 12,2 of 3,0 of 0,0 of 0,0 of 0,3 of 10,5 of 12,1 of 1,0 of 0,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Michael McDonald,Masanori Kanehara,W,L,0,0,5 of 13,15 of 17,38%,88%,6 of 14,77 of 81,0 of 0,2 of 2,---,100%,2,1,0,0,0:12,5:50,4 of 10,4 of 6,0 of 1,11 of 11,1 of 2,0 of 0,5 of 13,3 of 5,0 of 0,0 of 0,0 of 0,12 of 12
UFC 195: Lawler vs Condit,Kyle Noke,Alex Morono,L,W,0,0,59 of 134,43 of 125,44%,34%,79 of 155,81 of 166,1 of 3,0 of 0,33%,---,0,1,0,0,3:10,1:06,24 of 78,34 of 110,20 of 34,6 of 9,15 of 22,3 of 6,44 of 106,35 of 109,3 of 11,4 of 11,12 of 17,4 of 5
UFC 195: Lawler vs Condit,Justine Kish,Nina Nunes,W,L,0,0,72 of 135,92 of 174,53%,52%,91 of 155,107 of 194,3 of 10,1 of 2,30%,50%,0,0,0,1,2:51,2:40,45 of 94,50 of 117,12 of 19,20 of 34,15 of 22,22 of 23,50 of 106,76 of 150,17 of 23,15 of 22,5 of 6,1 of 2
UFC 195: Lawler vs Condit,Scott Holtzman,Drew Dober,L,W,0,0,38 of 69,36 of 88,55%,40%,79 of 115,63 of 119,2 of 5,5 of 14,40%,35%,0,0,0,0,3:59,5:15,33 of 62,29 of 78,5 of 7,4 of 6,0 of 0,3 of 4,17 of 40,22 of 61,10 of 14,10 of 21,11 of 15,4 of 6
UFC 195: Lawler vs Condit,Dustin Poirier,Joe Duffy,W,L,0,0,72 of 137,37 of 100,52%,37%,88 of 153,60 of 123,4 of 7,0 of 0,57%,---,0,1,0,0,9:23,0:08,58 of 121,29 of 92,7 of 8,7 of 7,7 of 8,1 of 1,33 of 77,27 of 85,12 of 20,8 of 13,27 of 40,2 of 2
UFC 195: Lawler vs Condit,Joe Soto,Michinori Tanaka,L,W,0,0,71 of 111,57 of 190,63%,30%,98 of 138,68 of 202,1 of 3,3 of 6,33%,50%,4,0,0,0,0:14,5:06,54 of 88,46 of 178,4 of 6,6 of 7,13 of 17,5 of 5,67 of 106,47 of 174,0 of 1,0 of 2,4 of 4,10 of 14
UFC 195: Lawler vs Condit,Sheldon Westcott,Edgar Garcia,W,L,0,0,33 of 79,1 of 3,41%,33%,60 of 115,1 of 3,1 of 1,0 of 0,100%,---,0,0,0,0,2:27,0:00,33 of 77,1 of 3,0 of 2,0 of 0,0 of 0,0 of 0,0 of 6,1 of 3,0 of 0,0 of 0,33 of 73,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,Rafael Dos Anjos,Donald Cerrone,W,L,0,0,26 of 44,4 of 7,59%,57%,26 of 44,4 of 7,0 of 0,0 of 1,---,0%,0,0,0,0,0:09,0:00,21 of 39,2 of 5,4 of 4,1 of 1,1 of 1,1 of 1,19 of 31,4 of 7,1 of 2,0 of 0,6 of 11,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,Junior Dos Santos,Alistair Overeem,L,W,0,1,22 of 46,32 of 43,47%,74%,22 of 46,32 of 43,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:03,12 of 29,11 of 17,7 of 12,7 of 10,3 of 5,14 of 16,22 of 46,28 of 39,0 of 0,0 of 0,0 of 0,4 of 4
UFC on FOX: Dos Anjos vs. Cowboy 2,Michael Johnson,Nate Diaz,L,W,0,0,103 of 301,153 of 300,34%,51%,104 of 303,157 of 304,1 of 1,0 of 0,100%,---,0,0,0,0,0:19,0:00,44 of 185,135 of 273,28 of 69,7 of 13,31 of 47,11 of 14,103 of 300,148 of 295,0 of 1,5 of 5,0 of 0,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,Randa Markos,Karolina Kowalkiewicz,L,W,0,0,34 of 100,66 of 169,34%,39%,56 of 125,104 of 216,1 of 9,0 of 0,11%,---,0,0,0,0,5:19,1:29,21 of 82,40 of 137,2 of 7,12 of 14,11 of 11,14 of 18,31 of 94,47 of 147,3 of 6,9 of 10,0 of 0,10 of 12
UFC on FOX: Dos Anjos vs. Cowboy 2,Charles Oliveira,Myles Jury,W,L,0,0,5 of 10,5 of 16,50%,31%,10 of 16,5 of 16,1 of 1,0 of 0,100%,---,1,0,0,0,0:11,1:37,0 of 4,3 of 14,3 of 4,1 of 1,2 of 2,1 of 1,5 of 10,5 of 16,0 of 0,0 of 0,0 of 0,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,CB Dollaway,Nate Marquardt,L,W,0,1,15 of 35,16 of 27,42%,59%,15 of 35,16 of 27,0 of 1,0 of 0,0%,---,0,0,0,0,0:03,0:04,9 of 24,4 of 12,4 of 8,7 of 9,2 of 3,5 of 6,12 of 32,14 of 25,3 of 3,1 of 1,0 of 0,1 of 1
UFC on FOX: Dos Anjos vs. Cowboy 2,Sarah Kaufman,Valentina Shevchenko,L,W,0,0,27 of 44,32 of 44,61%,72%,142 of 172,66 of 78,1 of 4,4 of 9,25%,44%,0,0,0,0,4:51,6:13,14 of 26,21 of 29,2 of 5,8 of 11,11 of 13,3 of 4,12 of 22,12 of 22,6 of 12,16 of 17,9 of 10,4 of 5
UFC on FOX: Dos Anjos vs. Cowboy 2,Josh Samman,Tamdan McCrory,L,W,0,0,10 of 19,39 of 53,52%,73%,53 of 70,80 of 97,2 of 4,2 of 4,50%,50%,0,1,1,1,6:20,7:18,6 of 15,36 of 49,3 of 3,3 of 4,1 of 1,0 of 0,1 of 7,2 of 3,0 of 0,3 of 4,9 of 12,34 of 46
UFC on FOX: Dos Anjos vs. Cowboy 2,Nik Lentz,Danny Castillo,W,L,0,0,59 of 132,57 of 124,44%,45%,72 of 148,60 of 127,3 of 6,2 of 6,50%,33%,2,0,0,0,1:34,3:34,38 of 101,47 of 112,16 of 25,4 of 5,5 of 6,6 of 7,50 of 115,51 of 115,9 of 17,6 of 7,0 of 0,0 of 2
UFC on FOX: Dos Anjos vs. Cowboy 2,Cole Miller,Jim Alers,NC,NC,0,0,28 of 77,25 of 79,36%,31%,29 of 78,25 of 79,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,17 of 64,9 of 55,7 of 9,6 of 11,4 of 4,10 of 13,26 of 75,24 of 77,2 of 2,1 of 2,0 of 0,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,Kamaru Usman,Leon Edwards,W,L,0,0,48 of 80,26 of 57,60%,45%,126 of 163,36 of 67,6 of 13,0 of 0,46%,---,0,0,0,0,10:50,0:40,28 of 55,17 of 47,12 of 15,6 of 7,8 of 10,3 of 3,11 of 30,17 of 47,12 of 15,7 of 8,25 of 35,2 of 2
UFC on FOX: Dos Anjos vs. Cowboy 2,Hayder Hassan,Vicente Luque,L,W,0,0,15 of 28,12 of 26,53%,46%,15 of 28,12 of 26,0 of 1,0 of 0,0%,---,0,1,0,0,0:00,0:21,9 of 21,6 of 20,4 of 4,3 of 3,2 of 3,3 of 3,15 of 28,12 of 26,0 of 0,0 of 0,0 of 0,0 of 0
UFC on FOX: Dos Anjos vs. Cowboy 2,Francis Ngannou,Luis Henrique,W,L,1,0,25 of 45,5 of 10,55%,50%,40 of 62,33 of 40,0 of 0,1 of 6,---,16%,0,0,0,0,0:01,4:49,19 of 38,5 of 10,3 of 3,0 of 0,3 of 4,0 of 0,16 of 32,5 of 9,4 of 4,0 of 0,5 of 9,0 of 1
UFC 194: Aldo vs McGregor,Jose Aldo,Conor McGregor,L,W,0,1,1 of 3,5 of 6,33%,83%,1 of 3,5 of 6,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,1 of 3,4 of 4,0 of 0,0 of 1,0 of 0,1 of 1,1 of 3,3 of 4,0 of 0,0 of 0,0 of 0,2 of 2
UFC 194: Aldo vs McGregor,Chris Weidman,Luke Rockhold,L,W,0,0,48 of 75,126 of 191,64%,65%,62 of 92,161 of 229,3 of 6,2 of 4,50%,50%,0,1,0,0,4:27,5:32,25 of 51,96 of 157,18 of 19,18 of 22,5 of 5,12 of 12,40 of 67,44 of 83,7 of 7,9 of 13,1 of 1,73 of 95
UFC 194: Aldo vs McGregor,Jacare Souza,Yoel Romero,L,W,0,1,30 of 52,46 of 92,57%,50%,42 of 67,56 of 104,1 of 7,0 of 1,14%,0%,0,0,0,0,2:33,1:58,16 of 35,37 of 80,11 of 14,5 of 6,3 of 3,4 of 6,22 of 44,24 of 50,0 of 0,0 of 1,8 of 8,22 of 41
UFC 194: Aldo vs McGregor,Demian Maia,Gunnar Nelson,W,L,0,0,47 of 58,2 of 4,81%,50%,193 of 229,7 of 10,2 of 8,1 of 1,25%,100%,1,0,1,2,10:58,2:14,45 of 56,2 of 4,2 of 2,0 of 0,0 of 0,0 of 0,3 of 4,1 of 2,4 of 4,0 of 0,40 of 50,1 of 2
UFC 194: Aldo vs McGregor,Max Holloway,Jeremy Stephens,W,L,0,0,57 of 99,47 of 95,57%,49%,79 of 122,60 of 110,1 of 1,0 of 12,100%,0%,0,0,0,0,3:27,2:09,40 of 77,12 of 55,12 of 17,11 of 14,5 of 5,24 of 26,42 of 81,45 of 85,6 of 8,2 of 10,9 of 10,0 of 0
UFC 194: Aldo vs McGregor,Urijah Faber,Frankie Saenz,W,L,0,0,75 of 111,66 of 136,67%,48%,80 of 116,72 of 143,2 of 13,0 of 3,15%,0%,0,0,0,1,1:54,2:01,53 of 87,29 of 89,20 of 22,15 of 21,2 of 2,22 of 26,34 of 62,46 of 100,40 of 48,19 of 33,1 of 1,1 of 3
UFC 194: Aldo vs McGregor,Tecia Pennington,Jocelyn Jones-Lybarger,W,L,0,0,77 of 133,29 of 106,57%,27%,126 of 192,53 of 137,0 of 4,0 of 2,0%,0%,0,0,0,0,5:35,2:21,67 of 116,15 of 87,7 of 14,10 of 15,3 of 3,4 of 4,55 of 102,23 of 97,13 of 20,3 of 6,9 of 11,3 of 3
UFC 194: Aldo vs McGregor,Warlley Alves,Colby Covington,W,L,0,0,2 of 4,2 of 2,50%,100%,2 of 4,2 of 2,0 of 0,1 of 2,---,50%,1,0,0,0,0:00,1:03,0 of 2,2 of 2,1 of 1,0 of 0,1 of 1,0 of 0,2 of 3,0 of 0,0 of 1,1 of 1,0 of 0,1 of 1
UFC 194: Aldo vs McGregor,Leonardo Santos,Kevin Lee,W,L,1,0,32 of 48,10 of 46,66%,21%,32 of 48,10 of 46,1 of 1,0 of 0,100%,---,0,0,0,0,0:30,0:00,22 of 38,5 of 40,6 of 6,5 of 6,4 of 4,0 of 0,18 of 30,10 of 46,0 of 0,0 of 0,14 of 18,0 of 0
UFC 194: Aldo vs McGregor,Joe Proctor,Magomed Mustafaev,L,W,0,1,9 of 13,18 of 27,69%,66%,9 of 13,22 of 31,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:06,3 of 7,13 of 22,2 of 2,4 of 4,4 of 4,1 of 1,8 of 12,9 of 18,1 of 1,4 of 4,0 of 0,5 of 5
UFC 194: Aldo vs McGregor,John Makdessi,Yancy Medeiros,L,W,0,1,114 of 196,80 of 268,58%,29%,114 of 196,80 of 268,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:14,38 of 99,50 of 227,48 of 65,14 of 22,28 of 32,16 of 19,113 of 194,78 of 266,1 of 2,2 of 2,0 of 0,0 of 0
UFC 194: Aldo vs McGregor,Court McGee,Marcio Alexandre Junior,W,L,0,0,58 of 99,23 of 48,58%,47%,133 of 185,28 of 53,2 of 13,0 of 0,15%,---,0,1,0,0,7:05,0:05,28 of 67,12 of 36,11 of 13,9 of 10,19 of 19,2 of 2,37 of 73,23 of 48,2 of 4,0 of 0,19 of 22,0 of 0
UFC 193: Rousey vs Holm,Ronda Rousey,Holly Holm,L,W,0,1,17 of 65,38 of 53,26%,71%,21 of 69,38 of 53,0 of 1,1 of 1,0%,100%,0,0,0,0,0:04,0:15,13 of 59,29 of 44,4 of 6,4 of 4,0 of 0,5 of 5,13 of 59,31 of 45,4 of 6,4 of 4,0 of 0,3 of 4
UFC 193: Rousey vs Holm,Joanna Jedrzejczyk,Valerie Letourneau,W,L,0,0,220 of 441,103 of 321,49%,32%,227 of 448,120 of 341,0 of 0,1 of 5,---,20%,0,0,0,0,3:06,0:36,97 of 289,72 of 275,53 of 67,20 of 32,70 of 85,11 of 14,203 of 414,91 of 303,17 of 27,7 of 13,0 of 0,5 of 5
UFC 193: Rousey vs Holm,Mark Hunt,Antonio Silva,W,L,1,0,12 of 18,9 of 17,66%,52%,13 of 19,9 of 17,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,7 of 13,2 of 6,2 of 2,2 of 5,3 of 3,5 of 6,10 of 15,9 of 17,0 of 1,0 of 0,2 of 2,0 of 0
UFC 193: Rousey vs Holm,Uriah Hall,Robert Whittaker,L,W,0,0,45 of 94,67 of 144,47%,46%,58 of 107,108 of 186,0 of 1,1 of 2,0%,50%,0,0,1,0,0:50,4:43,17 of 58,39 of 107,10 of 15,6 of 11,18 of 21,22 of 26,40 of 87,43 of 110,4 of 5,12 of 17,1 of 2,12 of 17
UFC 193: Rousey vs Holm,Stefan Struve,Jared Rosholt,L,W,0,0,33 of 58,16 of 37,56%,43%,34 of 59,38 of 59,1 of 1,4 of 7,100%,57%,0,0,0,0,0:19,6:43,23 of 41,6 of 23,7 of 14,2 of 5,3 of 3,8 of 9,21 of 42,11 of 27,1 of 2,0 of 1,11 of 14,5 of 9
UFC 193: Rousey vs Holm,Jake Matthews,Akbarh Arreola,W,L,0,1,62 of 98,21 of 41,63%,51%,96 of 136,33 of 55,1 of 3,0 of 0,33%,---,0,0,0,0,5:39,1:59,54 of 88,17 of 33,4 of 5,1 of 4,4 of 5,3 of 4,8 of 19,9 of 21,3 of 4,0 of 1,51 of 75,12 of 19
UFC 193: Rousey vs Holm,Kyle Noke,Peter Sobotta,W,L,1,0,23 of 43,2 of 6,53%,33%,24 of 44,2 of 6,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:14,13 of 30,2 of 5,2 of 4,0 of 1,8 of 9,0 of 0,11 of 21,2 of 6,0 of 0,0 of 0,12 of 22,0 of 0
UFC 193: Rousey vs Holm,Anthony Perosh,Gian Villante,L,W,0,1,6 of 32,19 of 34,18%,55%,7 of 33,19 of 34,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,6 of 30,12 of 26,0 of 2,5 of 6,0 of 0,2 of 2,6 of 30,17 of 31,0 of 2,2 of 3,0 of 0,0 of 0
UFC 193: Rousey vs Holm,Richie Vaculik,Danny Martinez,L,W,0,0,63 of 156,54 of 171,40%,31%,82 of 176,90 of 213,3 of 3,9 of 12,100%,75%,0,0,0,1,0:44,7:48,42 of 130,38 of 146,6 of 11,16 of 25,15 of 15,0 of 0,54 of 145,41 of 153,4 of 6,3 of 3,5 of 5,10 of 15
UFC 193: Rousey vs Holm,Daniel Kelly,Steve Montgomery,W,L,0,0,63 of 121,77 of 191,52%,40%,115 of 176,89 of 204,5 of 13,0 of 0,38%,---,0,0,0,0,7:53,0:02,56 of 114,50 of 159,5 of 5,24 of 28,2 of 2,3 of 4,30 of 77,50 of 160,10 of 12,25 of 28,23 of 32,2 of 3
UFC 193: Rousey vs Holm,Richard Walsh,Steve Kennedy,W,L,0,0,93 of 170,38 of 102,54%,37%,132 of 214,61 of 128,0 of 0,3 of 8,---,37%,0,0,0,0,4:28,4:23,58 of 127,31 of 92,13 of 19,3 of 6,22 of 24,4 of 4,49 of 110,33 of 92,11 of 19,0 of 2,33 of 41,5 of 8
UFC 193: Rousey vs Holm,James Moontasri,Anton Zafir,W,L,1,0,11 of 21,17 of 25,52%,68%,13 of 23,31 of 40,0 of 0,1 of 3,---,33%,0,0,0,0,0:03,2:50,5 of 14,8 of 14,3 of 4,6 of 8,3 of 3,3 of 3,8 of 11,5 of 11,1 of 2,5 of 7,2 of 8,7 of 7
UFC 193: Rousey vs Holm,Ben Nguyen,Ryan Benoit,W,L,0,0,11 of 18,1 of 6,61%,16%,20 of 37,1 of 6,0 of 0,0 of 1,---,0%,2,0,0,0,2:18,0:00,8 of 15,1 of 6,2 of 2,0 of 0,1 of 1,0 of 0,5 of 9,1 of 6,1 of 1,0 of 0,5 of 8,0 of 0
