Name,Style,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws
Michael Cora,,33.0,71.0,77.0,0.8,0.13,0.0,0.0,67.0,25.0,0.0,900.0,2.0,1.0,9.0,4.0,0.0,0.0,29.0,4.0,2.0,0.0,
Cory Corbin,,36.0,,,,,,,,,,,,,,,,,,,,,
Jonathan Correa,,,,,,,,,,,,,,,,,,,,,,,
Waldo Cortes Acosta,Striker,32.0,76.0,70.0,5.64,3.6,0.55,0.18,53.0,60.0,0.37,700.0,390.0,24.0,47.0,5.0,5.0,1.0,48.0,60.0,12.0,1.0,0.0
Reyes Cortez,,31.0,67.0,68.0,4.1,7.43,1.5,0.0,53.0,100.0,0.0,900.0,105.0,18.0,0.0,0.0,0.0,0.0,45.0,11.0,0.0,2.0,0.0
Alessandro Costa,Jiu-Jitsu,28.0,64.0,67.0,4.14,3.5,0.27,0.0,58.0,91.0,0.82,658.0,173.0,23.0,31.0,4.0,2.0,6.0,48.0,13.0,14.0,4.0,0.0
Davi Costa,,,,,,,,,,,,,,,,,,,,,,,
Paulo Costa,Striker,33.0,73.0,72.0,6.22,6.56,0.36,0.0,49.0,80.0,0.48,752.0,695.0,40.0,45.0,11.0,1.0,1.0,58.0,75.0,14.0,4.0,0.0
Oscar Cota,,38.0,72.0,72.0,0.33,2.47,0.0,1.0,41.0,60.0,0.0,900.0,2.0,0.0,3.0,0.0,0.0,0.0,42.0,10.0,2.0,0.0,
Colby Covington,,36.0,71.0,72.0,3.88,2.98,3.79,0.16,55.0,68.0,0.05,1025.0,843.0,107.0,112.0,4.0,9.0,4.0,39.0,44.0,17.0,4.0,0.0
Paul Craig,Kung-Fu,36.0,75.5,76.0,2.45,2.97,1.68,1.57,44.0,38.0,0.1,478.0,217.0,54.0,80.0,4.0,0.0,13.0,46.0,21.0,17.0,8.0,1.0
Kiefer Crosbie,MMA,34.0,71.0,70.0,8.23,5.1,1.51,0.76,53.0,100.0,0.0,595.0,146.0,17.0,0.0,5.0,3.0,2.0,56.0,67.0,10.0,5.0,0.0
Jimmy Crute,MMA,27.0,74.0,74.0,3.68,3.04,4.84,2.04,45.0,60.0,0.76,353.0,145.0,31.0,41.0,5.0,3.0,4.0,54.0,58.0,12.0,4.0,1.0
Dominick Cruz,Wrestler,39.0,68.0,68.0,3.91,2.61,2.82,0.05,71.0,84.0,0.05,1011.0,1014.0,88.0,83.0,7.0,16.0,1.0,33.0,43.0,24.0,4.0,0.0
Emilio Cuellar,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Josh Culibao,Freestyle,30.0,70.0,73.0,3.2,3.24,0.0,0.33,57.0,68.0,0.5,772.0,260.0,19.0,9.0,5.0,5.0,1.0,43.0,0.0,11.0,3.0,1.0
AJ Cunningham,,29.0,70.0,71.0,7.66,11.9,0.0,0.0,49.0,33.0,0.0,411.0,102.0,3.0,0.0,4.0,3.0,4.0,29.0,0.0,11.0,4.0,0.0
Chris Curtis,MMA,37.0,70.0,75.5,5.76,6.16,0.0,0.0,53.0,83.0,0.48,744.0,644.0,53.0,17.0,17.0,11.0,1.0,51.0,31.0,11.0,0.0,
Ion Cutelaba,Sambo,30.0,73.0,75.0,4.44,3.43,4.17,0.0,47.0,76.0,0.25,459.0,297.0,117.0,130.0,12.0,3.0,2.0,44.0,58.0,17.0,10.0,1.0
Diego Henrique da Silva,,36.0,74.0,,2.53,3.27,0.0,0.0,30.0,64.0,0.0,900.0,27.0,8.0,3.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,
Henrique da Silva,,33.0,75.0,76.5,3.89,5.28,0.25,0.25,40.0,22.0,0.0,523.0,113.0,83.0,41.0,11.0,0.0,1.0,60.0,14.0,12.0,4.0,0.0
Henrique Da Silva Lopes,,38.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Leonardo Damiani,,32.0,70.0,69.0,1.67,4.17,0.0,0.0,38.0,50.0,0.0,144.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,
Peter Danesoe,,22.0,,,4.56,3.19,0.0,0.0,36.0,71.0,3.42,163.0,14.0,6.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,0.0,
Jarjis Danho,Boxer,39.0,74.0,74.5,3.38,5.25,0.51,0.0,49.0,100.0,0.51,591.0,60.0,33.0,7.0,7.0,0.0,0.0,51.0,17.0,7.0,1.0,1.0
Jose Daniel Medina,,33.0,,,1.6,4.87,0.0,0.0,53.0,14.0,0.0,900.0,16.0,4.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0
Beneil Dariush,MMA,35.0,70.0,72.0,3.78,2.65,1.9,0.88,58.0,81.0,0.51,534.0,509.0,123.0,142.0,5.0,9.0,8.0,49.0,34.0,22.0,6.0,1.0
Chris Daukaus,Freestyle,33.0,75.0,76.0,6.05,4.64,0.0,0.0,55.0,100.0,3.54,191.0,110.0,13.0,31.0,11.0,1.0,0.0,50.0,0.0,12.0,7.0,0.0
Mike Davis,MMA,31.0,72.0,72.5,0.0,0.0,0.0,0.0,7.0,2.0,2.0,11.0,2.0,0.0,,,,,,,,,
Hakeem Dawodu,Muay Thai,32.0,68.0,73.5,5.45,3.37,0.0,0.0,57.0,65.0,0.11,809.0,615.0,114.0,5.0,7.0,5.0,0.0,51.0,0.0,13.0,4.0,1.0
Grant Dawson,,30.0,70.0,72.0,2.98,2.11,3.61,1.31,46.0,57.0,0.11,686.0,212.0,39.0,158.0,4.0,4.0,13.0,53.0,38.0,21.0,2.0,1.0
Rafael de Freitas,,39.0,66.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Marcos Rogerio de Lima,Striker,39.0,73.0,75.0,3.7,2.9,1.4,0.51,52.0,59.0,0.89,372.0,310.0,37.0,89.0,15.0,3.0,3.0,58.0,46.0,22.0,10.0,1.0
Leonardo De Oliveira,,31.0,,,1.07,0.54,24.11,0.0,50.0,0.0,112.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,
Carl Deaton,,33.0,67.0,69.0,1.53,1.85,0.0,0.0,61.0,50.0,0.0,748.0,37.0,1.0,0.0,3.0,5.0,9.0,32.0,0.0,17.0,7.0,0.0
Jack Della Maddalena,MMA,27.0,71.0,73.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,17.0,2.0,0.0,,,,,,,,,
Marc Diakiese,Freestyle,30.0,70.0,73.0,2.54,2.64,3.29,0.0,53.0,67.0,0.16,728.0,385.0,46.0,32.0,6.0,9.0,1.0,40.0,44.0,17.0,7.0,0.0
Blood Diamond,Kickboxer,34.0,71.0,76.0,3.12,2.17,0.0,0.0,49.0,74.0,0.0,693.0,53.0,55.0,0.0,1.0,1.0,1.0,55.0,0.0,3.0,3.0,0.0
Victor Dias,,32.0,66.0,69.0,2.87,5.8,5.0,0.0,55.0,0.0,900.0,33.0,0.0,10.0,5.0,2.0,2.0,45.0,42.0,8.0,0.0,0.0,
Ozzy Diaz,,32.0,76.0,79.0,1.65,3.91,0.0,0.0,45.0,0.0,399.0,11.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,
Nick Diaz,Brazilian Jiu-Jitsu,40.0,73.0,76.0,5.71,3.84,1.28,1.0,60.0,60.0,0.41,679.0,1424.0,353.0,99.0,13.0,5.0,8.0,42.0,33.0,26.0,11.0,0.0
Jhonata Diniz,Kickboxer,33.0,76.0,79.5,4.09,2.75,0.0,0.0,56.0,70.0,1.77,509.0,98.0,6.0,0.0,7.0,0.0,0.0,53.0,8.0,0.0,0.0,
Rico DiSciullo,,36.0,68.0,71.0,1.71,4.41,0.0,0.0,56.0,0.0,735.0,20.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,9.0,3.0,0.0,
Matt Dixon,,27.0,,,1.97,4.56,3.06,0.0,38.0,0.0,882.0,25.0,4.0,0.0,0.0,0.0,0.0,44.0,30.0,9.0,1.0,0.0,
Drew Dober,Freestyle,35.0,68.0,70.0,4.39,4.25,0.67,0.07,52.0,56.0,0.67,485.0,689.0,105.0,92.0,15.0,7.0,5.0,40.0,17.0,27.0,14.0,0.0
AJ Dobson,Freestyle,31.0,73.0,76.0,4.29,5.31,1.67,0.28,46.0,65.0,0.28,647.0,180.0,27.0,24.0,3.0,2.0,2.0,46.0,75.0,7.0,3.0,0.0
Roman Dolidze,MMA,36.0,74.0,76.0,3.13,3.37,1.26,1.14,51.0,33.0,0.51,712.0,283.0,28.0,61.0,7.0,2.0,3.0,42.0,40.0,13.0,3.0,0.0
Rafael Dos Anjos,Grappler,39.0,68.0,70.0,3.48,3.21,1.95,0.57,60.0,55.0,0.2,895.0,1220.0,321.0,277.0,5.0,16.0,11.0,47.0,36.0,32.0,16.0,0.0
Elizeu Zaleski dos Santos,MMA,37.0,71.0,73.0,4.3,3.42,0.71,0.47,57.0,69.0,0.16,762.0,596.0,164.0,60.0,14.0,7.0,3.0,42.0,21.0,24.0,8.0,1.0
Felipe dos Santos,Muay Thai,23.0,67.0,70.0,4.53,5.07,0.0,0.5,41.0,17.0,0.0,900.0,125.0,9.0,2.0,2.0,2.0,3.0,35.0,0.0,8.0,1.0,0.0
Kyle Driscoll,,28.0,,,2.73,2.6,2.0,0.0,59.0,0.0,900.0,39.0,2.0,0.0,0.0,0.0,0.0,33.0,18.0,12.0,3.0,0.0,
Dricus Du Plessis,MMA,30.0,73.0,76.0,6.49,4.77,3.0,0.75,55.0,40.0,0.75,687.0,398.0,53.0,69.0,9.0,2.0,10.0,50.0,52.0,21.0,2.0,0.0
Isaac Dulgarian,,27.0,67.0,71.0,2.88,2.53,6.06,1.52,40.0,0.0,594.0,17.0,1.0,39.0,4.0,0.0,2.0,59.0,47.0,6.0,1.0,0.0,
Chris Duncan,MMA,30.0,70.0,71.5,4.88,3.65,3.85,0.0,49.0,33.0,0.39,467.0,169.0,8.0,13.0,7.0,3.0,1.0,47.0,38.0,11.0,2.0,0.0
Christian Leroy Duncan,MMA,29.0,74.0,79.0,4.71,3.57,0.31,0.0,49.0,64.0,0.31,579.0,166.0,35.0,26.0,8.0,1.0,1.0,63.0,14.0,10.0,2.0,0.0
Albert Duraev,MMA,34.0,71.0,75.0,2.99,3.01,1.97,0.56,60.0,67.0,0.0,639.0,115.0,1.0,43.0,3.0,3.0,9.0,40.0,29.0,16.0,5.0,0.0
Cody Durden,Striker,33.0,67.0,67.0,3.19,3.09,4.6,0.77,50.0,71.0,0.15,587.0,246.0,16.0,50.0,6.0,5.0,5.0,51.0,51.0,16.0,6.0,1.0
Merab Dvalishvili,Freestyle,33.0,66.0,68.0,4.5,2.37,6.43,0.33,57.0,81.0,0.08,922.0,500.0,119.0,210.0,3.0,12.0,1.0,42.0,37.0,17.0,4.0,0.0
David Dvorak,MMA,31.0,65.0,68.5,3.48,3.29,0.58,0.19,60.0,70.0,0.0,773.0,231.0,30.0,8.0,8.0,4.0,8.0,43.0,30.0,20.0,6.0,0.0
Roybert Echeverria,,27.0,,,2.95,2.52,0.0,2.6,57.0,71.0,0.0,691.0,19.0,3.0,12.0,0.0,0.0,0.0,53.0,0.0,0.0,1.0,0.0
Leon Edwards,MMA,32.0,72.0,74.0,2.68,2.37,1.25,0.38,54.0,66.0,0.24,1042.0,640.0,106.0,92.0,7.0,12.0,3.0,54.0,37.0,22.0,4.0,0.0
Evan Elder,MMA,27.0,70.0,72.0,5.02,4.79,0.63,0.63,58.0,33.0,0.63,711.0,211.0,14.0,13.0,4.0,3.0,2.0,49.0,20.0,9.0,2.0,0.0
Joao Elias,,28.0,,,0.4,6.47,0.0,0.0,20.0,50.0,0.0,445.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,
Darren Elkins,Freestyle,39.0,70.0,71.0,3.44,3.27,2.85,1.13,52.0,56.0,0.09,710.0,645.0,239.0,254.0,9.0,13.0,5.0,38.0,35.0,28.0,11.0,0.0
Oban Elliott,MMA,26.0,72.0,72.0,3.82,2.24,2.67,0.0,62.0,73.0,0.0,900.0,110.0,8.0,54.0,2.0,6.0,3.0,47.0,50.0,11.0,2.0,0.0
Tim Elliott,Freestyle,37.0,67.0,66.0,3.39,2.66,3.73,1.04,57.0,59.0,0.12,735.0,514.0,152.0,165.0,3.0,11.0,7.0,45.0,47.0,21.0,13.0,1.0
Brian Ellis,,35.0,,,,,,,,,,,,,,,,,,,,,
Freddy Emiliano Linares,,26.0,,,1.17,3.59,0.0,0.0,27.0,33.0,0.0,870.0,9.0,7.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0
Jamall Emmers,Kickboxer,34.0,70.0,74.0,5.3,4.05,1.83,0.2,57.0,91.0,0.41,552.0,318.0,47.0,25.0,8.0,9.0,3.0,48.0,41.0,20.0,8.0,0.0
Josh Emmett,Freestyle,39.0,66.5,70.0,4.04,4.61,0.91,0.08,61.0,47.0,0.99,776.0,611.0,42.0,78.0,7.0,10.0,2.0,36.0,38.0,19.0,4.0,0.0
Kolton Englund,,29.0,,,2.31,11.54,0.0,0.0,40.0,0.0,130.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,
Steve Erceg,MMA,29.0,68.0,68.0,4.52,4.2,1.24,0.5,52.0,61.0,0.25,907.0,226.0,40.0,7.0,1.0,4.0,6.0,50.0,26.0,12.0,2.0,0.0
Julian Erosa,Striker,34.0,73.0,74.5,6.18,6.31,1.69,0.84,48.0,59.0,0.24,466.0,617.0,118.0,34.0,11.0,5.0,14.0,48.0,48.0,30.0,12.0,0.0
Jarno Errens,MMA,29.0,71.0,73.0,3.29,3.29,0.0,0.31,62.0,33.0,0.61,733.0,154.0,7.0,0.0,3.0,6.0,5.0,44.0,0.0,14.0,6.0,1.0
Rafael Estevam,MMA,27.0,68.0,69.0,2.94,3.35,3.35,0.67,35.0,0.0,673.0,12.0,3.0,51.0,4.0,5.0,3.0,64.0,19.0,12.0,0.0,0.0,
Movsar Evloev,Freestyle,30.0,67.0,72.5,4.43,2.89,4.75,0.25,61.0,71.0,0.0,900.0,384.0,49.0,98.0,3.0,11.0,4.0,48.0,46.0,18.0,0.0,0.0
Urijah Faber,MMA,44.0,66.0,67.0,2.65,2.59,1.54,0.85,64.0,58.0,0.36,740.0,590.0,139.0,253.0,10.0,8.0,17.0,41.0,30.0,35.0,11.0,0.0
Rinat Fakhretdinov,,32.0,72.0,74.0,4.17,2.71,4.43,0.25,52.0,100.0,0.74,731.0,143.0,46.0,65.0,11.0,5.0,6.0,55.0,46.0,22.0,1.0,1.0
Pedro Falcao,MMA,31.0,66.0,66.0,2.9,2.63,2.07,0.0,48.0,83.0,0.0,868.0,55.0,10.0,19.0,6.0,5.0,5.0,48.0,22.0,16.0,4.0,0.0
Jair Farias,,,,,,,,,,,,,,,,,,,,,,,
Rico Farrington,,34.0,,,6.33,7.2,0.0,0.0,52.0,20.0,0.0,900.0,95.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,
Tony Ferguson,Freestyle,40.0,71.0,76.5,4.91,4.37,0.39,0.88,55.0,66.0,0.17,679.0,1210.0,31.0,91.0,13.0,5.0,8.0,46.0,35.0,26.0,11.0,0.0
Kauê Fernandes,Freestyle,29.0,69.0,73.0,3.0,42.0,0.0,0.0,33.0,0.0,20.0,1.0,0.0,0.0,5.0,2.0,2.0,100.0,9.0,2.0,0.0,,
Lucas Fernando,,26.0,75.0,80.0,1.87,4.73,3.0,1.0,39.0,0.0,900.0,26.0,2.0,0.0,0.0,0.0,0.0,52.0,30.0,0.0,1.0,0.0,
Erisson Ferreira,,32.0,66.0,70.0,1.75,2.75,1.11,1.67,56.0,67.0,0.0,808.0,31.0,8.0,8.0,0.0,0.0,0.0,32.0,100.0,1.0,1.0,0.0
Andre Fialho,Boxer,29.0,72.0,74.0,3.3,6.26,0.25,0.0,46.0,67.0,0.49,524.0,165.0,32.0,5.0,13.0,2.0,1.0,42.0,100.0,16.0,8.0,0.0
Michal Figlak,MMA,27.0,70.0,70.0,4.0,4.93,0.5,0.0,53.0,57.0,0.0,900.0,113.0,4.0,3.0,4.0,4.0,0.0,39.0,13.0,8.0,2.0,0.0
Deiveson Figueiredo,Boxing,36.0,65.0,68.0,3.01,3.39,1.68,1.6,51.0,59.0,0.87,727.0,453.0,45.0,121.0,9.0,6.0,9.0,55.0,36.0,24.0,3.0,1.0
Jafel Filho,Grappler,31.0,67.0,68.5,2.36,2.0,1.77,2.65,47.0,56.0,0.44,509.0,52.0,1.0,27.0,5.0,1.0,10.0,41.0,33.0,16.0,3.0,0.0
Andre Fili,MMA,34.0,71.0,74.0,3.88,4.11,2.15,0.25,51.0,70.0,0.37,637.0,812.0,58.0,78.0,10.0,10.0,3.0,38.0,44.0,24.0,11.0,0.0
Rafael Fiziev,Muay Thai,31.0,68.0,71.5,4.9,4.97,0.29,0.0,49.0,89.0,0.29,701.0,461.0,50.0,4.0,8.0,3.0,1.0,52.0,40.0,12.0,3.0,0.0
AJ Fletcher,Striker,26.0,70.0,67.0,3.36,4.61,1.54,0.93,47.0,33.0,0.31,583.0,138.0,12.0,13.0,4.0,1.0,4.0,50.0,36.0,10.0,3.0,0.0
Ty Flores,,29.0,,,2.0,7.8,1.0,0.0,25.0,0.0,900.0,19.0,11.0,0.0,0.0,0.0,0.0,38.0,9.0,0.0,1.0,0.0,
Darrius Flowers,,29.0,69.0,71.0,3.07,5.49,0.98,0.0,44.0,64.0,0.0,459.0,81.0,9.0,4.0,9.0,3.0,0.0,50.0,29.0,12.0,8.0,1.0
Rob Font,Striker,37.0,68.0,71.5,5.53,3.65,0.89,0.34,56.0,46.0,0.48,770.0,1066.0,78.0,62.0,9.0,7.0,4.0,46.0,35.0,20.0,8.0,0.0
Kai Kara-France,Kickboxer,31.0,64.0,69.0,4.57,3.24,0.63,0.0,65.0,88.0,0.63,783.0,562.0,15.0,79.0,11.0,10.0,3.0,40.0,33.0,24.0,11.0,0.0
Josh Fremd,Freestyle,30.0,76.0,76.0,2.52,2.23,0.66,1.09,47.0,30.0,0.0,686.0,135.0,28.0,10.0,4.0,3.0,4.0,44.0,25.0,11.0,6.0,0.0
Matt Frevola,Brawler,33.0,69.0,71.0,3.71,3.57,2.59,0.93,60.0,43.0,1.3,442.0,198.0,31.0,72.0,4.0,4.0,3.0,42.0,40.0,11.0,4.0,1.0
Justin Gaethje,MMA,35.0,71.0,70.0,6.78,7.46,0.11,0.0,52.0,75.0,0.63,656.0,849.0,101.0,14.0,20.0,4.0,1.0,59.0,25.0,26.0,5.0,0.0
Mickey Gall,Brazilian Jiu-Jitsu,32.0,74.0,74.0,3.33,4.55,1.18,1.62,50.0,38.0,0.3,508.0,255.0,39.0,44.0,0.0,1.0,6.0,48.0,32.0,7.0,6.0,0.0
Mateusz Gamrot,Wrestling,33.0,70.0,70.5,3.09,3.07,5.28,0.14,60.0,91.0,0.14,720.0,272.0,27.0,34.0,8.0,11.0,5.0,51.0,36.0,24.0,2.0,0.0
Ciryl Gane,Muay Thai,34.0,76.0,81.0,5.49,2.19,0.58,0.48,63.0,50.0,0.29,850.0,767.0,65.0,24.0,6.0,3.0,3.0,61.0,21.0,12.0,2.0,0.0
Junye Gao,,31.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Cody Garbrandt,Freestyle,32.0,68.0,65.5,2.98,3.76,1.03,0.0,60.0,80.0,1.13,582.0,385.0,23.0,26.0,11.0,3.0,0.0,41.0,34.0,14.0,6.0,0.0
Fernie Garcia,Boxing,31.0,67.0,67.0,2.04,3.79,0.28,0.55,49.0,50.0,0.28,652.0,101.0,1.0,9.0,3.0,6.0,1.0,34.0,50.0,10.0,5.0,0.0
Harrison Garcia,,,,,,,,,,,,,,,,,,,,,,,
Rafa Garcia,Boxer,28.0,67.0,70.0,4.19,4.21,3.61,0.3,62.0,79.0,0.0,856.0,352.0,44.0,22.0,1.0,6.0,9.0,43.0,44.0,16.0,3.0,0.0
Steve Garcia,Freestyle,32.0,72.0,75.0,5.0,2.51,1.27,0.63,46.0,89.0,2.85,316.0,122.0,39.0,76.0,13.0,3.0,0.0,56.0,40.0,16.0,5.0,0.0
Shamil Gaziev,MMA,34.0,76.0,78.5,2.43,3.72,1.03,0.34,45.0,100.0,0.34,654.0,65.0,24.0,17.0,8.0,1.0,3.0,49.0,30.0,13.0,1.0,0.0
Yanis Ghemmouri,MMA,29.0,69.0,69.0,2.29,5.14,0.0,0.0,36.0,0.0,380.0,25.0,4.0,0.0,3.0,5.0,4.0,39.0,0.0,12.0,3.0,0.0,
Christos Giagos,Boxer,34.0,70.0,71.5,3.03,3.21,2.84,0.39,51.0,52.0,0.13,499.0,261.0,41.0,51.0,8.0,8.0,4.0,42.0,37.0,20.0,12.0,0.0
Cody Gibson,MMA,36.0,70.0,71.0,3.96,3.89,1.61,0.4,58.0,68.0,0.4,639.0,222.0,67.0,6.0,7.0,8.0,5.0,44.0,31.0,21.0,10.0,0.0
Trevin Giles,Freestyle,31.0,72.0,74.0,3.27,2.22,1.19,0.32,59.0,71.0,0.32,640.0,335.0,32.0,86.0,6.0,4.0,5.0,55.0,50.0,16.0,6.0,0.0
Gregor Gillespie,,36.0,67.0,71.0,3.74,2.3,6.86,0.76,58.0,100.0,0.51,443.0,68.0,19.0,134.0,8.0,2.0,5.0,53.0,48.0,14.0,1.0,0.0
Alex Gilpin,,31.0,,,6.8,12.29,2.17,2.17,43.0,0.0,415.0,45.0,1.0,1.0,0.0,0.0,0.0,54.0,25.0,10.0,1.0,0.0,
Eperaim Ginting,,27.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
Ricky Glenn,Freestyle,35.0,72.0,70.5,3.94,4.1,0.55,0.41,52.0,68.0,0.41,659.0,240.0,69.0,124.0,13.0,6.0,3.0,43.0,13.0,22.0,8.0,2.0
Billy Ray Goff,MMA,25.0,70.0,72.5,8.56,5.71,2.01,0.0,59.0,100.0,1.34,449.0,177.0,12.0,3.0,7.0,2.0,0.0,46.0,18.0,9.0,3.0,0.0
Amiran Gogoladze,,25.0,,,1.64,0.82,0.0,0.0,0.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,1.0,0.0,,
Luis Gomez,,28.0,0.0,68.0,1.57,4.03,4.48,0.0,55.0,33.0,0.0,803.0,20.0,1.0,0.0,2.0,1.0,1.0,34.0,50.0,4.0,1.0,0.0
William Gomis,,26.0,72.0,73.0,2.62,1.49,1.06,0.71,76.0,82.0,0.0,847.0,101.0,7.0,3.0,6.0,5.0,1.0,47.0,60.0,13.0,2.0,0.0
Justin Gonzales,Wrestler,32.0,69.0,,6.67,0.87,14.0,0.0,43.0,100.0,0.0,900.0,5.0,48.0,47.0,0.0,0.0,0.0,80.0,74.0,9.0,0.0,0.0
Lyman Good,,38.0,72.0,74.0,5.34,4.01,0.27,0.0,63.0,75.0,0.82,548.0,221.0,58.0,14.0,11.0,7.0,3.0,49.0,100.0,21.0,6.0,0.0
Jared Gordon,Freestyle,35.0,69.0,68.0,5.75,3.97,1.78,0.0,57.0,63.0,0.09,676.0,660.0,127.0,184.0,7.0,11.0,2.0,56.0,32.0,20.0,7.0,0.0
Tresean Gore,Boxing,28.0,72.0,75.0,3.04,6.13,3.04,1.22,47.0,82.0,0.0,493.0,59.0,12.0,4.0,2.0,1.0,2.0,54.0,71.0,5.0,2.0,0.0
Kron Gracie,Jiu-Jitsu,34.0,69.0,70.0,3.74,6.82,0.47,0.47,53.0,0.0,642.0,108.0,11.0,1.0,0.0,0.0,5.0,45.0,25.0,5.0,2.0,0.0,
Bogdan Grad,,27.0,68.0,70.0,1.45,9.4,0.0,0.0,46.0,0.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,,
Davey Grant,MMA,37.0,68.0,69.0,4.77,3.82,1.26,0.21,56.0,61.0,0.42,712.0,582.0,48.0,49.0,4.0,2.0,9.0,43.0,41.0,15.0,7.0,0.0
James Gray,,35.0,69.0,,2.61,18.26,0.0,0.0,44.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,4.0,2.0,0.0,
King Green,MMA,37.0,70.0,71.0,6.43,3.73,1.23,0.29,62.0,74.0,0.29,668.0,1596.0,209.0,162.0,11.0,12.0,9.0,53.0,40.0,32.0,16.0,1.0
Logan Greenhalgh,,,,,,,,,,,,,,,,,,,,,,,
Max Griffin,Kickboxer,38.0,71.0,76.0,3.92,3.81,1.45,0.29,58.0,69.0,0.58,778.0,681.0,80.0,52.0,9.0,8.0,2.0,49.0,42.0,20.0,10.0,0.0
Charalampos Grigoriou,Striker,32.0,67.0,67.5,2.62,3.97,2.62,0.0,47.0,91.0,1.31,458.0,33.0,1.0,26.0,6.0,2.0,0.0,49.0,80.0,8.0,5.0,0.0
Garrett Grimes,,29.0,,,,,,,,,,,,,,,,,,,,,
Garrett Gross,,34.0,69.0,69.0,2.39,1.67,0.0,0.0,46.0,52.0,0.4,744.0,42.0,10.0,37.0,0.0,0.0,0.0,46.0,0.0,11.0,8.0,0.0
Chris Gruetzemacher,Jiu-Jitsu,37.0,68.0,68.0,6.18,4.96,0.21,0.0,53.0,66.0,0.0,585.0,309.0,113.0,29.0,7.0,5.0,3.0,57.0,50.0,15.0,5.0,0.0
Clay Guida,Freestyle,41.0,67.0,70.0,2.64,3.01,3.13,0.62,61.0,68.0,0.19,746.0,787.0,168.0,325.0,7.0,17.0,14.0,34.0,36.0,38.0,21.0,0.0
Bogdan Guskov,MMA,31.0,75.0,76.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,16.0,3.0,0.0,,,,,,,,,
Alexander Gustafsson,Striker,36.0,77.0,79.0,4.03,3.53,1.53,0.4,51.0,84.0,0.72,622.0,575.0,59.0,117.0,11.0,4.0,3.0,41.0,40.0,18.0,8.0,0.0
Mando Gutierrez,,25.0,,,0.8,1.33,1.0,1.0,50.0,40.0,0.0,900.0,11.0,0.0,1.0,0.0,0.0,0.0,75.0,100.0,0.0,1.0,0.0
Chris Gutierrez,Freestyle,33.0,69.0,67.0,4.72,2.64,0.26,0.09,64.0,72.0,0.43,800.0,778.0,17.0,23.0,9.0,9.0,1.0,59.0,30.0,21.0,5.0,2.0
Jake Hadley,MMA,27.0,67.0,70.0,3.76,3.72,0.2,1.37,61.0,55.0,0.2,659.0,246.0,11.0,32.0,2.0,2.0,5.0,45.0,6.0,11.0,3.0,0.0
Damir Hadzovic,,36.0,69.0,70.0,3.36,3.26,0.78,0.16,63.0,35.0,0.31,644.0,254.0,35.0,36.0,7.0,4.0,3.0,48.0,56.0,14.0,7.0,0.0
Yazan Hajeh,,30.0,68.0,73.0,1.54,17.44,0.0,0.0,44.0,100.0,0.0,117.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6.0,0.0,0.0
Ryan Hall,,38.0,70.0,70.5,2.38,1.33,0.22,2.22,66.0,0.44,676.0,108.0,3.0,50.0,2.0,18.0,3.0,50.0,9.0,9.0,2.0,0.0,
Rami Hamed,,,,,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,
