Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling
TJ Brown,0.5416666666666667,0.8734177215189873,0.4318181818181821,0.34493346980552714,0.055047619047619054,0.14143508917461636,0.1411637931034483,0.49,0.23417721518987342,0.0,0.6952554744525548,0.09591354272205337,0.1359773371104816,0.15273775216138327,0.15384615384615385,0.04477611940298507,0.1,0.45,0.58,0.4473684210526315,0.5238095238095237,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Randy Brown,0.5416666666666667,0.9493670886075949,0.7045454545454546,0.4483111566018424,0.06095238095238096,0.02986312733305682,0.06896551724137932,0.55,0.4430379746835443,0.00044444444444444447,0.5711678832116788,0.20837554880108072,0.37110481586402266,0.21613832853025935,0.2692307692307693,0.1044776119402985,0.05,0.47000000000000003,0.39,0.5,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matt Brown,0.9166666666666667,0.9113924050632911,0.5681818181818183,0.38485158648925283,0.055619047619047624,0.06968063044379925,0.14008620689655174,0.55,0.4050632911392405,0.0006666666666666666,0.5045620437956204,0.19790611279972983,0.7818696883852692,0.5100864553314121,0.6538461538461539,0.029850746268656716,0.07,0.55,0.47000000000000003,0.6842105263157894,0.9047619047619047,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Travis Browne,0.8333333333333333,0.9936708860759493,0.75,0.29989764585465717,0.0820952380952381,0.050186644545831605,0.02370689655172414,0.43,0.47468354430379744,0.0007333333333333333,0.4397810218978102,0.08375548801080716,0.15864022662889518,0.27665706051873196,0.0,0.0,0.0,0.41000000000000003,0.6900000000000001,0.47368421052631576,0.3333333333333333,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cody Brundage,0.41666666666666674,0.9113924050632911,0.4318181818181821,0.16581371545547596,0.050095238095238095,0.09581086686022398,0.09913793103448278,0.41000000000000003,0.43670886075949367,0.0005111111111111112,0.322992700729927,0.016886187098953058,0.0226628895184136,0.13544668587896252,0.19230769230769232,0.029850746268656716,0.03,0.54,0.5,0.2631578947368421,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Robert Bryczek,0.5416666666666667,0.9113924050632911,0.5681818181818183,0.218014329580348,0.08514285714285715,0.0,0.0,0.6,0.6329113924050633,0.0,0.8211678832116788,0.010131712259371834,0.0056657223796034,0.0,0.42307692307692313,0.07462686567164178,0.01,0.24,0.17,0.15789473684210525,0.0,0.06995884773662552,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lukasz Brzeski,0.5,0.9493670886075949,0.7045454545454546,0.5015353121801434,0.06685714285714286,0.019079220240564083,0.04956896551724139,0.54,0.23417721518987342,0.0,0.5958029197080292,0.09050996285038838,0.09348441926345609,0.0547550432276657,0.23076923076923078,0.029850746268656716,0.01,0.5,0.5,0.23684210526315788,0.23809523809523808,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Joaquin Buckley,0.41666666666666674,0.8860759493670886,0.6136363636363638,0.4350051177072672,0.059428571428571435,0.07009539610120281,0.0,0.58,0.43670886075949367,0.001,0.5593065693430657,0.13677811550151978,0.07932011331444759,0.38040345821325644,0.5,0.07462686567164178,0.0,0.36,0.44,0.5,0.2857142857142857,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Martin Buday,0.5,0.9620253164556962,0.6590909090909092,0.49539406345957016,0.10552380952380953,0.008710078805474907,0.022629310344827586,0.52,0.6329113924050633,0.00046666666666666666,0.5602189781021898,0.07565011820330969,0.31728045325779036,0.03170028818443804,0.2692307692307693,0.07462686567164178,0.02,0.54,0.25,0.3684210526315789,0.09523809523809523,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Dylan Budka,0.16666666666666674,0.9113924050632911,0.5681818181818183,0.10644831115660185,0.03428571428571429,0.14019079220240563,0.07327586206896552,0.34,0.6329113924050633,0.0,0.6085766423357664,0.002026342451874367,0.0368271954674221,0.011527377521613832,0.038461538461538464,0.05970149253731343,0.02,0.61,0.38,0.18421052631578946,0.14285714285714285,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Modestas Bukauskas,0.41666666666666674,0.9493670886075949,0.6136363636363638,0.3285568065506653,0.0782857142857143,0.015761094981335547,0.020474137931034486,0.5,0.44936708860759494,0.0,0.5392335766423357,0.07328605200945627,0.0821529745042493,0.020172910662824207,0.34615384615384615,0.04477611940298507,0.02,0.42,0.67,0.42105263157894735,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Felipe Bunes,0.5833333333333333,0.8477215189873417,0.4571483784237942,0.5373592630501536,0.16609523809523813,0.1306511820821236,0.0,0.41000000000000003,0.0,0.6344444444444445,0.04470802919708029,0.00033772374197906115,0.0,0.005763688760806916,0.11538461538461539,0.11940298507462686,0.55,0.33,0.13,0.18421052631578946,0.0,0.06995884773662552,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Justin Burlinson,0.25,0.9240506329113924,0.5227272727272729,0.12691914022517914,0.05885714285714286,0.0,1.0,0.62,0.6329113924050633,0.0,0.0885036496350365,0.00033772374197906115,0.0028328611898017,0.0,0.0,0.0,0.0,0.4,0.0,0.02631578947368421,0.0,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nate Burnard,0.20833333333333326,0.8881698783994927,0.4571483784237942,0.3765371881725433,0.08030917469627148,0.06191806614599995,0.05625190442334062,0.4850368188512518,0.3295918234186537,0.0818227295041728,0.46188442643217265,0.08036730814282282,0.09669277015440972,0.11356518946119323,0.19748749702310076,0.054595443833464256,0.10660990712074303,0.43958204334365325,0.29595348837209307,0.3053122697880003,0.18635231870525987,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
